,amazon_tweets
214,diymore DC 3V-5V MAX31865 SPI PT100 to PT1000 RTD Converter Board Thermocou... https://t.co/CxUw3zOS8q via @amazonIN
215,"#AmazonQuiz
@amazon 
@amazonIN 
Fit India quiz https://t.co/5YFNmmHI97"
216,"Dear amazon, I mailed you and complained too, but you are not taking any resopense, so I am going to file a case in… https://t.co/lwOxKdFbdU"
217,What is this pathetic nuisance distasteful crap @amazon @amazonIN so many bugs introduced by your pathetic shitty t… https://t.co/iX1puBxTuw
218,"The Fastest Monster is here # SamsungIndia # Samsung M42 5 G
@ amazonIN https://t.co/mvVga35fHg"
219,"I've have entered the lucky draw #AmazonSpinandWin to win #SamsungM42 #GalaxyM42 #FastestMonster 5G(Grey,8GB-128GB)… https://t.co/AEmIEpvvyF"
220,"#AmazonFunzoneSlots
@amazon
@amazonIN 
Funzone jackpot https://t.co/P6MT9RQv1m"
221,"My Favourite Feature from the Samsung Galaxy M42 5G is the Super-Fast Snapdragon 750G 5G Processor⚡
#FastestMonster… https://t.co/oiYTWAfxyy"
222,"#AmazonSpinandWin
@amazon 
@amazonIN 
Chance to win https://t.co/vG2wbwJs7X"
223,"Ordered a small fan, got this shit. Assistance needed ASAP @amazonIN @AmazonHelp https://t.co/GZVCiDMysM"
224,"#DailyQuizTime
@amazon 
@amazonIN 
Daily quiz time https://t.co/iIklizWLwu"
225,I liked these feature the most(in the picture given below) because the performance is the main thing which should b… https://t.co/MJ0ZRNSJwH
226,Amazon India Is A Fraud Company. Never Purchase From @amazonIN. I Purchase Setup Of 60K+ Under Return Policy. Now T… https://t.co/YG97uhHeKf
227,"LifeEstyle LE-500041_A Six Seater Dining Table Set (Brown) LifeEstyle https://t.co/reJBDKccTO via @amazonIN 

#pune… https://t.co/tqiiu62C5Q"
228,"Solid Sheesham Wood upholstered Bench LifeEstyle https://t.co/4LF6RupZCz via @amazonIN 

#pune #delhi #hyderabad… https://t.co/vT2buOm163"
229,"Shoe Rack Cabinet, LifeEstyle Wooden Shoe Rack Mango Solid Wood Shoe Rack, ... https://t.co/vWNuEvvUjo via… https://t.co/WOhpndVMBL"
230,"Instead of delivering the product, this is the game #Amazon is playing. @amazon @amazonIN @AmazonUK.… https://t.co/FbYWS4jmg6"
231,"1) 407-6722854-1197120
     Lakme Compact
2) 407-7597553-0432315
     Lakme Compact

#fraud @amazon @AmazonHelp… https://t.co/tp5rzODsSu"
232,"Thanks for this quiz. #AmazonIN

#AmazonFunzoneSlots https://t.co/5TYfj7HDI7"
233,"#FastestMonster 
#SamsungM42 
My Favourite feature 🙂
@amazonIN 
@SamsungIndia https://t.co/QwXDiG3DdE"
234,Hey @AmazonHelp @amazonIN Need help with an order! Urgent!
235,"Thanks for this quiz. #AmazonIN

#Dailyquiz https://t.co/cI62XeZirc"
236,"Sarrom Organic Hair Shampoo For Hair Growth And Hair Fall Control,Dandruff,... https://t.co/oxnHvk1HnJ via @amazonIN"
237,"boAt Rockerz 335 Buy Now Amazon
#Boat #rockerz #boatrockerz335  #amazon #amazonin
https://t.co/OogEB9HoUm"
238,#AmazonSpinandWin @amazonIN Would like to be the luckiest one to get it 🙂 https://t.co/pnDoCP1hIY
239,Hello @amazonIN I have ordered boat airdopes few days back &amp; I got a empty small jar today...&amp; Now when I am trying… https://t.co/W5B4yPnEU1
240,#AmazonSpinandWin @amazonIN Would like to experience S series 🙂 https://t.co/WvwZPkfJ51
241,#GalaxyM42Quiz @SamsungIndia @amazonIN Would like to switch it from Galaxy A31 🙂 https://t.co/T5MHhHmh81
242,I'm excited about  the processor 😍   #FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/QyQa6fmAzS
243,#Mi11SeriesQuiz @XiaomiIndia @amazonIN Would love to use it 😊 https://t.co/FlUq9cunv4
244,"#SamsungM42 @amazonIN 
CONFIRMED!!!!Samsung m42 5g has 720p hd display😠😠😠🤯🤯🤯
Amoled display
SAMSUNG should really l… https://t.co/nAtcw7b0a1"
245,"Amazon is going to donate 100 ICU ventilator units it would import and airlift from the US, in an effort to allevia… https://t.co/dr83cZAbIG"
246,"Really excited about the quiz results @SamsungIndia  @amazonin #FastestMonster, #SamsungM42 https://t.co/ETGnBTRZnw"
247,"#AmazonFunzoneSlots @amazonIN 
I won today this plz send it to me 8f this is real if this is fake then do not  show… https://t.co/hAWWSxxWdn"
248,"Knox Security My favorite feature of #SamsungM42 
@SamsungIndia @amazonIN #FastestMonster https://t.co/muvWQb3RcY"
249,"#FastestMonster 
@amazonIN 
@SamsungIndia  
#SamsungM42 
Monster fastest Snapdragon 750G processor my favorite feat… https://t.co/EG3KLHU7Sl"
250,Isn't it a joke in the name of customer service. What's going on @AmazonHelp @amazon @amazonIN @JeffBezos… https://t.co/mewzlehw5x
251,"Love the ease of @getsimpl. pls integrate with @amazonIN, @myntra, @NetflixIndia, @hotstartweets and @oyorooms  #KeepItSimpl"
252,"From my home library collection, 
Say It Like Shakespeare: How to Give a Speech Like Hamlet, Persuade Like He...… https://t.co/XNxEH08Q9z"
253,"Most I liked it's feature fast safety. it is good in privacy and security of users. #fatestmonster, @amazonIN and… https://t.co/vkmHs9mgpD"
254,Never purchase from @Flipkart in this covid conditions as they don't care about your safety. Packing is open while… https://t.co/qkNoUuX9Pc
255,"S J.D. @SJD72489404 
#AmazonQuiz
#DailyQuizTime 
Thanks Amazon for Contest 👍
@amazonInQuiz 
@amazonIN 
@amazon https://t.co/Q6d6yMNYKa"
256,"#AmazonQuiz 
#QuizTimeMorningsWithAmazon 
I played this interesting Quiz. All answer are correct. 
Email. vinitan25… https://t.co/lU8VZvGSFi"
257,"Enterprises across the board -- including Facebook, Apple, Amazon, Oppo, and Vivo -- are extending support in India… https://t.co/FcgwJVgN85"
258,"#FastestMonster #SamsungM42 
Best smartphone going to launch today at @amazonIN by none other than @SamsungIndia.
1… https://t.co/WbH0oo7yYw"
259,I ordered an SPO2 meter from @amazonIN. It has reached city last morning. I kept waiting for the delivery through o… https://t.co/xvH5yHhnyM
260,Don't even have the guts to reply or make things right by simply delivering the items #Amazon has been holding in t… https://t.co/RKvj66HOOm
261,"Love samsung pay as well as SD750G 
@SamsungIndia 
@amazonIN 
#m42_5G
#FastestMonster"
262,"#AmazonSpinandWin
Amazon Fashion
I played this interesting quiz on Amazon app at Amazon FunZone
I am eligible for w… https://t.co/1fC40xqMmp"
263,"#AmazonFunzoneSlots
I played this interesting quiz on Amazon app at Amazon FunZone
I am eligible for win prize...
T… https://t.co/dsv5pokgvV"
264,"#AmazonQuiz
Fit India Quiz
I played this interesting quiz on Amazon app at Amazon FunZone
I am eligible for win pri… https://t.co/7CgPuT9LAZ"
265,"Dear @amazonIN @amazon so many time I participated in Amazon quiz but once also I haven't won any   prizes , can yo… https://t.co/sw0WxmUc1j"
266,"#AmazonQuiz
Daily QuizTime
I played this interesting quiz on Amazon app at Amazon FunZone
I am eligible for win pri… https://t.co/BjF7cAsthF"
267,.@amazonIN very disappointed from your pathetic customer care service .  first you sold a duplicate watch of… https://t.co/iia5N96ADi
268,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 

Samsung Galaxy M42 5G Fastest Monster product unveil today 12… https://t.co/Ohuv8Bt8el"
269,Ticket id is 581933. I repeated mail to @Mivi_Official. But mivi can't help me. They tell me that the product is ou… https://t.co/7kikIPby9W
270,"absurd customer support, made an ordered a product as gift for my cousins birthday, product arrived at my location… https://t.co/CSalmquAH2"
271,"Hey @amazonIN, my order 402-0934300-8051569 is not being delivered by @BlueDart_. Been 5 days. Official explanation… https://t.co/YtDteq0o6M"
272,"S RANI @SRANI37951181 
#AmazonQuiz 
#DailyQuizTime
Thanks Amazon for contest🙏
@amazonInQuiz 
@amazonIN 
@amazon https://t.co/95oB64oL98"
273,"ETHealthworld | Prices of oxygen concentrators have almost doubled, while those of oximeters have increased by up t… https://t.co/U2KGnqBTeY"
274,"#IWonOnAmazon
@amazonIN #AmazonQuiz Thank you so much for chance to win this reward 😍 😊🙏 https://t.co/9hC9ZWPoVI"
275,"Read Secret of Healthy Hair
https://t.co/Lg15kGq4Co… via @amazonIN #secretofhealthyhair #plantbased #hairproblems… https://t.co/Vxz2r36osK"
276,I played this interesting Guess and Win on Amazon-Try your luck for a chance to win exciting rewards.… https://t.co/JTEYr0tZqq
277,"Samsung 1st budget smartphone with Qualcomm Snapdragon 750G. Now that's a monster.
#FastestMonster #SamsumgM42… https://t.co/nMNk7g1amC"
278,"#AmazonFunzoneSlots
I have given the correct answer to  question ......
I hope that ...... I will definitely win th… https://t.co/S38uAGVIjR"
279,"Here's how @amazonIN thinks that they can fool us customers with the ""Discount"" Trap...
What looks Inexpensive, dis… https://t.co/4b8h0VNjUq"
280,HEY @amazonIN and @NetflixIndia Y U NO @getsimpl  #KeepItSimpl
281,"#AmazonQuiz
I have given the correct answers to all questions ......
I hope that ...... I will definitely win this… https://t.co/GatCkMbCqN"
282,Thank you @amazonIN  for now delivering Headphones!! You truly are a life saver!!
283,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 supermosnter of the mobile generation, aswome features https://t.co/5WgA2Ay5y8"
284,"#FastestMonster #SamsungM42  @amazonIN @SamsungIndia 
I like that it's 5g phone in budget segment https://t.co/tQX1QcX3zr"
285,"#AmazonQuiz
#FitIndiaQuiz @amazonIN
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/xsfmzYEGEc"
286,#AmazonQuiz @Amazonquiztime @amazonInQuiz @amazon @AmazonHelp @amazonIN #LovefromPune Hey Amazon I Wish To Win This… https://t.co/rLuyqoBbSJ
287,#AmazonFunzoneSlots @Amazonquiztime @amazonInQuiz @amazon @AmazonHelp @amazonIN @JBLaudio Hey Amazon I Wish To Win… https://t.co/x5xgKudhEQ
288,#AmazonFunzoneSlots @Amazonquiztime @amazonInQuiz @amazon @AmazonHelp @amazonIN @LGIndia Hey Amazon &amp; LG I Want To… https://t.co/xUHYBPYqUR
289,#AmazonSpinandWin @Amazonquiztime @amazonInQuiz @amazon @AmazonHelp @amazonIN Hey Amazon I Wish To Win This Time🙏😍 https://t.co/JmY1DQvQs1
290,"It's the time, @Flipkart @flipkartsupport @amazonIN have to deliver oxygen cylinders  online.
As COVID-19 going on,… https://t.co/dHIhu7ewfE"
291,I love this feature because I love gaming #FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/bdRPWKFjpb
292,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/UjHLoEeniA
#AmazonQuiz… https://t.co/aIE04ud8PE"
293,Performance at its best Samsung always does this. New Samsung M42 Launching Today. @SamsungIndia @amazonIN… https://t.co/6oXdgCwfBf
294,"Thanks for this quiz @amazonIN 
#AmazonQuiz https://t.co/IbmkWVpuml"
295,"#FastestMonster 
#SamsungM42 
@amazonIN 
@SamsungIndia 
I like Samsung's best privacy .❤️💝 https://t.co/GlPWXuugQi"
296,"Samsung best feature is its security because now a days phone security is very important for us 
#FastestMonster… https://t.co/ENozgBRJPF"
297,"Always Keep Yourself Active in #bumchums Loungers.
Shop @ https://t.co/EUtOLrvIlF
Also shop @Flipkart :… https://t.co/WbMUJIECFQ"
298,"It's a Matter of Comfort! Choose only RUPA Frontline.
Shop HUNK Gym Vest @ https://t.co/CR4VksSOBj
Also shop… https://t.co/8YsrsEKBow"
299,Bye Bye @amazonIN  @amazonprimeIN. Will never use your services. Recent bad experience with cash back rewards. Comp… https://t.co/gZybE2HcGs
300,Dear @amazonIN as per your updates all product has been delivered. But I did not recieved almost 50% order in the… https://t.co/PBeWuOca49
301,"Thanks for this quiz @amazonIN 
#AmazonSpinandWin https://t.co/gv2fd4Y3wC"
302,"hey @amazonIN @RedmiSupportIN 
My package is ""arriving today by 9 pm"" but it's not out for delivery yet. Worst trac… https://t.co/YjFed2wKf2"
303,"Thanks for this quiz @amazonIN 
#AmazonQuiz https://t.co/L7NXgJBUQT"
304,"Thanks for this quiz @amazonIN 
#AmazonQuiz https://t.co/2X1DdK8z2M"
305,Crop Tops Try-On Haul | Amazon India Shopping Haul | Crop Tops Under Rs. 500 | Indian Stylist Girl… https://t.co/Jwhu2urjTw
306,"Daily QuizTime
@amazonIN https://t.co/lxczEQFrik"
307,"Thanks for this quiz @amazonIN 
#AmazonFunzoneSlots https://t.co/EN4tnKMTqC"
308,"Most Welcome To
#SamsungM42 5G
I assure that @SamsungIndia #FastestMonster 's #GalaxyM42 5G
SoC 750 G (My Favourite… https://t.co/Iwj57qG7Az"
309,"Thankyou Amazon Quiz@amazonIN &amp;@One plus _IN
#AmazonMobileInsider
#OnePlus9Series5G https://t.co/M1SW5IkHjF"
310,5g is future and #SamsungM42 is ready for it. #FastestMonster @amazonIN @SamsungIndia https://t.co/fNb438iQjD
311,"Dear Friends,

Request u to order Milk Shakes and Juices made by Storia and make the advt a rahe across India, tell… https://t.co/Z9XcYPV72W"
312,"Dear Amazon, Many thanks for safely delivery of 10,000 oxygen concentrator package for indian people. It is great t… https://t.co/qEI4Dqnr9L"
313,"Favourite feature
#FastestMonster
@amazonIN @SamsungIndia 
#SamsungM42 https://t.co/L4qeiUyP0S"
314,Hey @amazonIN I have participitated in every *daily quiz time* *spin the wheel* and always got eligible for every l… https://t.co/k8aTe6H7AH
315,Never buy an @oppo @oppomobileindia phone that too by @amazon @amazonIN...never ever. These companies supply all their garbage online.
316,"As mentioned earlier, don't be a piece of shit like @amazonIN @amazon @AmazonHelp @AmazonUK"
317,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42
The FastestMonster is now here https://t.co/iIwyvDysR4"
318,Fav phone @amazon @amazonIN 😊😊😊 https://t.co/j5rVWjFkcB
319,Amazon FunZone #GalaxyM42Quiz @amazonIN &amp; @SamsungIndia #FastestMonster Samsung M42 join on amazon games Zone… https://t.co/mXdOhMmP52
320,I played this interesting Quiz on Amazon-Play games at Amazon FunZone I win  LG 516 L 3 Star Inverter Frost-Free Do… https://t.co/dA9m3A0jRC
321,I played this interesting Quiz on Amazon-Play games at Amazon FunZone I win  Amazon pay 2000   I hope to win.… https://t.co/Je49EENJ9v
322,"#AmazonQuiz
Lucky chance to winning 
Existing reward On Amazon Funzone Quiz @amazon 
@amazonIN #AmazonQuiz https://t.co/NVBV6p71CE"
323,"PERFORMANCE MONSTER 📱👌
@amazonIN @SamsungIndia #SamsungM42 https://t.co/4SWyHgm5bB"
324,I played this interesting Quiz on Amazon-Play games at Amazon FunZone I win  Amazon pay 10000  I hope to win.… https://t.co/fGdXQZVCOD
325,"Performance is most important for me🔥
@amazonIN @SamsungIndia #SamsungM42 https://t.co/WyLfE2oI57"
326,I played this interesting Quiz on Amazon-Play games at Amazon FunZone I win  Sea Hawk Front Suspension 21-Speed Adv… https://t.co/hJ1a2OvaVz
327,I played this interesting Quiz on Amazon-Play games at Amazon FunZone I win  Amazon pay 15000   I hope to win.… https://t.co/et3ZeUSga8
328,"Ok Done Amazon quiz
try your luck @amazonIN
#AmazonQuiz @amazon 
#AmazonQuiz https://t.co/5C9rbcFh2L"
329,"This will be the best phone and feature in 5G Mobile Marketing 
#FastestMonster
#SamsungM42
@amazonIN 
@SamsungIndia https://t.co/v5uIbfOtMG"
330,"Now affordable 5G phone is ready to use!
Thank you @amazonIN and especially @SamsungIndia for launching this… https://t.co/OKveriVzai"
331,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 
Waiting for using my samsung pay https://t.co/Iqz8PQus0q"
332,"Performance🔥🔥🔥
@amazonIN @SamsungIndia 
#SamsungM42 https://t.co/SzfVUhLqGt"
333,Allow non essential items delivery to ecommerce many of people have work from home allow mobile and laptop sell  to… https://t.co/SrHyrHpe1S
334,"Submitted answers and
Complete Quiz @amazon @amazonIN
#AmazonFunzoneSlots https://t.co/9FC3vpPPnm"
335,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 
Hope I win this great mobile phone https://t.co/b1SMQMDsGc"
336,"Samsung Spelling is Incorrect.
@SamsungIndia @SamsungMobile @amazonIN https://t.co/4YiFH1jgsM"
337,"My third pandemic release. Do give it love, good people.
""An exquisitely sinister tale of bereavement &amp; the grey la… https://t.co/oJu1R81lDl"
338,"#FastestMonster  #samsungm42
I like this phone because of this

@amazonIN  @SamsungIndia https://t.co/4OZeMcGWn3"
339,"#fastestmonster, @amazonIn and @SAMSUNGINDIA,#SAMSUNGM42

I liked the processer used in this mobile Qualcomm spandr… https://t.co/sdmXqo9QQX"
