,Flipkart_tweets
1723,"Sunsilk Almond &amp; Honey Conditioner, 180 ml@104

https://t.co/N1YHlyQauy https://t.co/yqo2iNFzaN
click above to find… https://t.co/3SydNyjvGL"
1724,"Big Indian companies Tata, Birla, Reliance, Adani, Mittal, etc, should come forward and start help people by oxygen… https://t.co/JGoDYlMMKE"
1725,"8’s time to go out of the box and have a faster, smoother &amp; safer experience with the #realmeUI 2.0 on the #realme8… https://t.co/BEaM3tjeuF"
1726,"Some books leave us imagining. Some, enlighten with knowledge. Arun Sharma speaks about the CAT exam and how to pre… https://t.co/C8kJBfTYkz"
1727,"LG Wing (Aurora Gray, 128 GB) (8 GB RAM) @ 29249 [ 10% off on HDFC Bank Credit Card and Credit/Debit EMI Transactio… https://t.co/0BluWvRdfy"
1728,OD121086061497042000 i placed an order in Feb Month which was delivered to me on 24 Feb.I have been contact Flipkar… https://t.co/W6QkC9HPdj
1729,OD121086061497042000 i placed an order in Feb Month which was delivered to me on 24 Feb.I have been contact Flipkar… https://t.co/5EOTwzjvo1
1730,"Marble stains Remover on Amazon/Flipkart 

#India #Karnataka #Tamilnadu #Telangana #Maharashtra #Delhi #Gujarat… https://t.co/Xk8jxTS6O7"
1731,"Wondering how to groom this Summer? Don’t worry, we’ve got you covered! The Beard Story’s nourishing shampoo &amp; cond… https://t.co/GCuebBSPG6"
1732,Order ID - OD221248102847341000 i already provide you  letter call me i want resolution @Flipkart  @flipkartsupport
1733,flipkart and Amazon need come together and enhance the logistics supply of oxygen because you have the India's larg… https://t.co/gXax8ODDez
1734,"Hard Water stains Remover on Amazon/Flipkart 

#India #Karnataka #Tamilnadu #Telangana #Maharashtra #Delhi #Gujarat… https://t.co/Dax9sGk6PW"
1735,Flipkart Fake Or Not Fake Quiz Answers Today 25 April 2021 https://t.co/S8C5QLc6oh
1736,"dear @Flipkart is it my fault I ordered frm u, n got a broken PC. n ur customer support can't help due to technical… https://t.co/psaeEWfvg5"
1737,"Repeat after me : Never, ever, ever, ever order from flipkart again. Flipkart and ekart are the worst platforms eve… https://t.co/xmhG4WvDIk"
1738,Vivo V21 5G Flipkart listing confirms that the phone will go on sale in India via the e-commerce site. The phone wi… https://t.co/B8a2wvgomd
1739,Paytm Foundation - Oxygen for India. Donate any amount of money. @Paytm @PunjabGovtIndia  @Amazon @flipkart https://t.co/B3J9bgccHG
1740,Reply me urgently I'm wait for your customer service I have a proof of everything totally brust@_Kalyan_K @Flipkart… https://t.co/Cb81TL3Pkn
1741,"🎁🎁Top Deals On #TVs | Upto 60% OFF 

https://t.co/3sf0R45tg6"
1742,"Extra 750rs off On Select Refrigerators + 10% off On Hdfc Credit card

https://t.co/Ovz8wpnjzp

Eligible Products :… https://t.co/aUf1bg913E"
1743,"Last Day of Supercoin Offer :

Extra 1500rs off On Frost Free Refrigerators + 10% off On Hdfc Credit card… https://t.co/C3pmGY8d0d"
1744,Flipkart Cooling Days Supercoins Offers https://t.co/dH3d74wA2M
1745,"#PulseOximeter price shooting through the roof, increased 3-4 times over last few weeks. Please help @amazonIN… https://t.co/4TeFsRae7x"
1746,"Totally brust customer service 
delivery service call me 9643790040 @Flipkart @FlipkartSellers"
1747,I ♥ this product on Flipkart! jungleGstring Men Brief https://t.co/AAYRAM4gKP #buyonflipkart via @Flipkart https://t.co/iOGkZP2nVp
1748,"Tenali Double Horse wishes you all the best with extra Stamina..

ShopNow: https://t.co/yvBcbuva9a… https://t.co/GYPi3sDM3t"
1749,I ♥ this product on Flipkart! jungleGstring Men Brief https://t.co/penzIqIAli #buyonflipkart via @Flipkart https://t.co/xTJQic4vG0
1750,I ♥ this product on Flipkart! jungleGstring Men Brief https://t.co/DRu4iyjXCP #buyonflipkart via @Flipkart https://t.co/kvu39nmTwa
1751,Applied for Flipkart Axis Bank Credit Card. Done kyc but still got declined.. no reason nothing.. my documents are… https://t.co/0nWDc2xeHJ
1752,I ♥ this product on Flipkart! jungleGstring Men Brief https://t.co/jZxbpjQngP #buyonflipkart via @Flipkart https://t.co/29eueZpQly
1753,"Bring home Sansui 43'' 4K Android UHD TV and upgrade your watching experience.
Its rich and enhanced colour quality… https://t.co/BwS3Z6XyrS"
1754,"How to unblock my Flipkart account? 

@flipkartsupport @Flipkart"
1755,"Lol.... 

Why am I getting OTPs... 

From APOLLO... 

LENSKART.. 

FLIPKART.... 

DOMINO'S https://t.co/btfmTNsQJN"
1756,"Now you'll always head in the right direction with the #Gbuddy GSW4 Smartwatch!
It comes with a In-Build Compass th… https://t.co/M9G7d3K1Zx"
1757,"🔔 #Flipkart down?

🔗 Real-time status: https://t.co/pLoUYmJPwS

🔁 RETWEET if you are affected too.

#FlipkartDown… https://t.co/UhyQB1kFVQ"
1758,Open a free Demat Account with Angel Broking &amp; get a chance to win a Smartphone &amp; an assured Gift Voucher worth Rs.… https://t.co/v1pwvEINqM
1759,"#Flipkartindia  #fraud
Bought a mobile on Flipkart on 4Apr
Through online payment
On the app it mentioned transacti… https://t.co/ziGCGBtvpY"
1760,"PHILIPS MMS2625B/94 38 W &amp; 31 Bluetooth Home Theatre

@2990

https://t.co/1IkT8KyEdj"
1761,I order this from @Flipkart as i compared same product in @amazonIN it was expensive there. So I bought it from Fli… https://t.co/fS4WDrFJBD
1762,"Razer DeathAdder Essential - Right-Handed Gaming Mouse (RZ01-02540100-R3M1) Wired Optical Gaming Mouse  (USB 3.0, B… https://t.co/f68Z0GI26n"
1763,Thank u @Flipkart :-). Totally satisfied with the way of your packaging. https://t.co/BNaHP3Ortn
1764,"Amazon, Flipkart… Meesho?

https://t.co/rqWrD1ge1F

 #BYjuS"
1765,"Water Marks Stains Remover on Amazon/Flipkart  

#Pallakad #Secunderabad #Allahabad  #Mysore #Indore… https://t.co/GlvRWqt8j2"
1766,Hello @inconsumerforum @DoC_GoI @CimGOI can you kindly help me in this matter. For the past 1 month I am suffering… https://t.co/kvl7O1y9ZN
1767,Wow @Flipkart @flipkartsupport playing games now! Saying ur order will be cancelled automatically over calls and th… https://t.co/xmpRMv2t0r
1768,"50% off : PARK AVENUE Good Morning Deodorant Spray  -   Men( Pack of 2)@198

https://t.co/ZpWrWZyZK4

Masters link"
1769,"50% off : PARK AVENUE Deodorant Spray Men( Pack of 2) At 198

https://t.co/hVqR8xRmps"
1770,Since 20days I did complaint about refund of my order on @Flipkart but they are demanding useless documents by bank… https://t.co/KFWFBOfYdT
1771,Back to back cancelling all orders @Flipkart @flipkartsupport atleast ask customer if they want to cancel or not. I… https://t.co/VfutH0FUI7
1772,What the hell is wrong with @Flipkart cancelling every order i placed long ago whereas I don’t have problem with la… https://t.co/lh7VXz3no6
1773,Can someone help me? What is the process to file a case against Flipkart in India? everytime i receive the same rep… https://t.co/6mdr7iLCMt
1774,"Wild Stone Red Deodorant Spray - For Men  (225 ml)

4.2 ⭐️

Deal : ₹ 179/-
Price : ₹ 299/-

Shop Here 👉… https://t.co/sQhgJlgT16"
1775,Hi @flipkartsupport @Flipkart Continuously i mailed to flipkart that pls activate my account in which in wallet som… https://t.co/nHjFGuqIWV
1776,"Match 20, Question 20!!!

Cmnt ur ans using #MGUIPLContest2021 &amp; #HarGharKiRasoiKiShaan

Follow 
@mguindore

Don't… https://t.co/JUB0uYeq9V"
1777,"Still refund is not provided due to server issue at your end. It's been 24 hours. Please refund my money.

@Flipkart  @flipkartsupport"
1778,"All eyes on the BIGger screen!
Experience TV like never before with the Crystal Clear Display of the 139cm (55”)… https://t.co/XM4f4zngfC"
1779,"Multitask all you want!

The #realme8 5G comes with a powerhouse, India's First MediaTek Dimensity 700 5G Processor… https://t.co/VeWAwwik4h"
1780,"Encountered a worst service and from Flipkart, it's just a matter of batminton raqcket. Ordered, returned and refun… https://t.co/gELNI7Z3XG"
1781,For morning I m getting to many sms for OTP validation in my Airtel no @Flipkart @Lenskart_com @HospitalsApollo… https://t.co/V05puWIj1e
1782,"🀄🀄 Join us now for exiting offers on Aazon and flipkart

● #Whatapp - DM 

● #Telegram - https://t.co/uzXmN8J2yR

●… https://t.co/VBgVUaPuLs"
1783,Quizmaster @RaghavNC and @Vrundabansode tracing the entrepreneurial journey of @_sachinbansal and @binnybansal in s… https://t.co/opBQmuJ014
1784,"Hey @Flipkart did you insult TAMIL Ah? Or me Ah?  you waste my time and valuable business days, you pay back me, fo… https://t.co/CVEGOUsJfs"
1785,"D NATURE FRESH Roasted &amp; Salted Pistachios 250g Pistachios(250 g) Rs. 259 - Flipkart
https://t.co/ik1Cdb9yhm"
1786,"🀄🀄Wild Stone Red Deodorant Spray - 225 ml At Rs.179/-

 [Mrp - 299/-]

Link- https://t.co/HzEqBPMmzX"
1787,"𝐀𝐳𝐭𝐞𝐜 𝐒𝐞𝐜𝐫𝐞𝐭 𝐀𝐩𝐩𝐥𝐞 𝐂𝐢𝐝𝐞𝐫 𝐯𝐢𝐧𝐞𝐠𝐚𝐫
and 𝑨𝒛𝒕𝒆𝒄 𝑺𝒆𝒄𝒓𝒆𝒕 𝑰𝒏𝒅𝒊𝒂𝒏 𝑯𝒆𝒂𝒍𝒊𝒏𝒈 𝑪𝒍𝒂𝒚

👉Flipkart Buy Link 🛒 𝐆𝐞𝐭 𝐇𝐞𝐫𝐞 &gt;… https://t.co/WS0SqhxPYR"
1788,"#flipkart 
Dear concern authority, 
You rejected my return request 4 times, what an irritating situation. I am tryi… https://t.co/6ZT6rF97Vs"
1789,"Dear @Flipkart @flipkartsupport 
I made a purchase with order id OD121562366184560000 through @Lazy_Pay 
which I ca… https://t.co/0eQ4MMcGv6"
1790,"Casotec 269078 Universal Worldwide Adaptor(White) Rs. 230 - Flipkart
https://t.co/aH6bPnWovS"
1791,"Available on Amazon, Flipkart, Shopclues and bluerose. https://t.co/dnKMcMuPqA"
1792,"Available on Amazon, Flipkart, Shopclues and bluerose. https://t.co/l2tipeolvs"
1793,An extremely powerful work on Cricket. It  is common perception that the cricket is all about the batsmen. But this… https://t.co/bOGcizQptC
1794,"In this book, the author gives details of the internal working of the insurance companies and the industry, along w… https://t.co/6Za0HGBGxG"
1795,Wow @Flipkart  laptop is essential  but mobiles are not essential. WTF You are using strategies  to sell your lapto… https://t.co/4qrEnObMUr
1796,"In this book, the author gives details of the internal working of the insurance companies and the industry, along w… https://t.co/idcufDtMom"
1797,https://t.co/3IIFVBE05o https://t.co/3IIFVBE05o Courts should not enlarge history sheeters on bail with 'blinkered… https://t.co/gyMepHBZZ6
1798,"🎁🎁Granola 100% Natural California Almonds  - 500gms At Rs.353/- 

[ Mrp - 599/-] 

Link:- https://t.co/FIyJe9nVIA… https://t.co/mfp0BHokSq"
1799,"D NATURE FRESH Roasted &amp; Salted #Pistachios  - 250g

 At Rs.259/-

 [Mrp - 487/-] ❤️❤️

Link:- https://t.co/BRKzfG4jCp"
1800,"Not many people complain of Business Interruptions. It is usually too late. Like loss of income, inadequate insuran… https://t.co/MUhzsQ2OpD"
1801,A practical guide to understand insurance policies. Learn from the actual stories of thousands of real-life claims.… https://t.co/WaxWZwAR73
1802,"Nokia 5.4 to Go on Sale Today via Flipkart and https://t.co/6ERqOOWCAR, Nokia Power Earbuds Lite Now Available - Ga… https://t.co/0a3smcK0ZO"
1803,"Hey @Flipkart and @flipkartsupport 6 days later, still no resolve 2/4 https://t.co/6KJ7nCa6br"
1804,How about we give cashbacks and rewards to people on getting the vaccine. Maybe the citizens be interested to take… https://t.co/lFuyPSZZrO
1805,"Help me please mera message ko dekho or reply karo
@Flipkart @flipkartsupport"
1806,"40% off : Pampers Premium Care Diapers, 76 Count @595

https://t.co/25Ll7MGDdp

 #Amazon

#AmazonIndia #Flipkart… https://t.co/BtP3AAO85W"
1807,"[ Buy 5 Qty Rs.201 Each ] Cashew 500g (4 tukda) @ 224

https://t.co/3Uye4ob2GY

 #Flipkart

#AmazonIndia #Flipkart… https://t.co/VwMmntddki"
1808,"Solimo Plastic Drainer/Colander with lid (Blue) @ 83

https://t.co/CwB2i4idij

PC : Check Other Color

 #Amazon… https://t.co/yZdyEwy2Ey"
1809,Hey @Flipkart I hear you guys say your customers are important? This is a conversation I've had with your chatbot '… https://t.co/kJN9qAL0DV
1810,"82% Off : Solimo Polycarbonate Hardside Luggage (66 cm) @ 1799

https://t.co/uT33zTV5Se

@1497… https://t.co/XrSXUcitNN"
1811,"Adidas Unisex-Child Nebzed Running Shoe@1016

https://t.co/O76nr8bglT

 #Amazon

#AmazonIndia #Flipkart… https://t.co/Dv2kAAlHoC"
1812,"HealthMonk Vitamin C &amp; Zinc Tablets 1000mg @119

https://t.co/d2yWlDudZ6

Min 2 Buy

 #Amazon

#AmazonIndia… https://t.co/CrBja6jxQG"
1813,"Walnuts Without Shell Pack of 2 (250gm Each)@391

https://t.co/dQuwXraCJL

 #Amazon

#AmazonIndia #Flipkart… https://t.co/nazCpJU3eC"
1814,"TRESemme Nourish &amp; Replenish Shampoo + Conditioner Plus Philips Hair Dryer@880

https://t.co/iQy75gKYkh

 #Flipkart… https://t.co/0PGCxsp5zf"
1815,"California Almonds 500Gram @298

https://t.co/QkNCwzCrN0

Buy More Save More

 #Flipkart

#AmazonIndia #Flipkart… https://t.co/7f06QOHbgr"
1816,"HRX X-Wave 7R with Flex Fold Design Technology Bluetooth Headset @799

https://t.co/plZBXtbaCA

 #Flipkart… https://t.co/T8Fhgtvba2"
1817,"Face Mask (100pcs) @299.

https://t.co/NrEJzdbGlG

 #Amazon

#AmazonIndia #Flipkart #EmpireDeals
#DailyOffers

More… https://t.co/3SiOMGxuER"
1818,"WOODNESS Winston Solid Wood 6 Seater Dining Set(Finish Color - Wenge) Rs. 10451 - 

https://t.co/UbsIHLLvUb

DO PRE… https://t.co/6rbnNzJbaa"
1819,"AmazonBasics Zero Gravity Reclining Lounge Portable Chair, Black @ 1723

https://t.co/g8KZN6PZha

 #Amazon… https://t.co/kJRowmONTj"
1820,"Zinq Technologies 2A Dual Port Mobile Charger for Android and iOS Devices @149.

https://t.co/dyxK3DQ1P5

199 :… https://t.co/8fLHGozvR3"
1821,"Premium Bean Bag Refill 2 Kg for Bean Bags @590 

https://t.co/IIUIq77vCi

 #Amazon

#AmazonIndia #Flipkart… https://t.co/jHRdngk7yn"
1822,"💥💥Healthy Balance High Fibre Roasted Oats 1Kg  @ 102/-⚡️ MAX 15
https://t.co/WyM6nFTVqC

 #Amazon

#AmazonIndia… https://t.co/4ZOi3DDSwG"
1823,"X Well Women's Bras upto 83% off from Rs.99 @ Flipkart
https://t.co/aDo4Z84kn6"
1824,"realme 80 cm (32 inch) HD Ready LED Smart Android TV@12749

₹2250 off With Hdfc Credit card… https://t.co/6iOAUAhSn7"
1825,"💥💥Pigeon 1.5 Litre Electric kettle @ 575/-
👉 https://t.co/Pkygt0gR77

💥💥 Pigeon by Stovekraft Crystal Glass Electri… https://t.co/4jrs3lLWcM"
1826,"Syska Led Lights 9 W Standard B22 LED Bulb(Pack of 2)@165

https://t.co/E7MsKf667c

 #Flipkart

#AmazonIndia… https://t.co/kSSuFDjiQm"
1827,"Earpods means Wireless esthara ?

Apple iPhone 11 (Purple, 128 GB) (Includes EarPods, Power Adapter)
https://t.co/xyaSlDeTFz"
1828,"The legendary master who have millions of followers across the world, who founded Ramashram and conferred with the… https://t.co/QYC3JlxtIf"
1829,"Thanks Flipkart for
1. Not keeping delivery promise
2. Horrible and incompetent support service
3. No escalation me… https://t.co/zDQSoSQYmG"
1830,Does anyone know about bizzare returns @Flipkart and whom to contact for escalation? Ordered something from… https://t.co/bD7Uzstrbu
1831,"Hi @Flipkart @flipkartsupport ,
I got frustrated with the order placed on 20th April, which was supposed to be deli… https://t.co/8yr9wtWlqo"
1832,.@Flipkart my order was supposed to be delivered yesterday (after a 4 day delay) but I still haven’t received any u… https://t.co/ajq7G4bSC7
1833,Flipkart subsdiary Jeeves is fraud
1834,"Help me @Flipkart 
@flipkartsupport"
1835,"Available on Amazon, Flipkart, Shopclues and bluerose. https://t.co/B28lbfsVa8"
1836,"Commerce is everything today. Not empathy !!!
Right @Flipkart ???
😠😠 https://t.co/8ENk5uq7DU"
1837,"Vivo V21 5G India Launch Confirmed for April 29, Will Go on Sale via Flipkart https://t.co/FXueKzdMqu"
1838,External HDD 1TB 50% off  https://t.co/bnWsBIJ1Y0 5#Developer #node #salesforcecertified    #nodejs #coding #js… https://t.co/ai18iHKssf
1839,External HDD 1TB 50% off  https://t.co/bnWsBIJ1Y0 6#creativecoding #programminghumor #programmings… https://t.co/Rkb5MJOfIC
1840,"External HDD 1TB 50% off  https://t.co/bnWsBIJ1Y0 4#Bitcoin #NPTEL #swayam #IIT #IISc #Exams  #salesforceapex,… https://t.co/tIoCxlFeha"
1841,"External HDD 1TB 50% off  https://t.co/bnWsBIJ1Y0 3#Bitcoin #NPTEL #swayam #IIT #IISc #Exams  #salesforceapex,… https://t.co/p7pJh21bPS"
1842,External HDD 1TB 50% off  https://t.co/bnWsBIJ1Y0 0#recruitment #Careers #Jobs #hiring #vacancies #tech #techjobs… https://t.co/tnh6Qcq0Vq
1843,External HDD 1TB 50% off  https://t.co/bnWsBIJ1Y0 6#100DaysOfMLCode  #trailhead #certification #pd1… https://t.co/X1Vy2mrGO7
1844,External HDD 1TB 50% off  https://t.co/bnWsBIJ1Y0 7Learn salesforce sfdc including salesforce service cloudand prep… https://t.co/A79P1ZemWK
1845,"Vivo V21 5G India Launch Confirmed for April 29, Will Go on Sale via Flipkart https://t.co/vwuBnvlp7l"
1846,"Free 35 Supercoins by completing simple task.

Link : https://t.co/buWCXqu6To

Go to above link slide down and clic… https://t.co/SY1EVX4Wi6"
1847,"kindly stop the exchange service because even i fulfilled all conditions, due to monoply my handset was rejected. e… https://t.co/S6mKG3qxs3"
1848,"Ever had thought about this, instead of only text in Highlighting the product specs?
@amazonIN @Flipkart @amazon https://t.co/q27OkBN2QW"
1849,"Water Marks Stains Remover on Amazon/Flipkart  

#Bangalore #Chennai #Mumbai #Delhi #Pune #Kolkata  #Hyderabad… https://t.co/KJi1mb9MlV"
1850,"Dear useless ,@JBLaudio and @Flipkart stop making ur users fool.Whn u buy gadgets lyk from Flipkart, they provide u… https://t.co/wFmOyX10em"
1851,Wonder why don’t we have 1 platform that has verified data of emergency health facilities in real time across India… https://t.co/8Rn7qSBv1x
1852,"Vivo V21 5G India Launch Confirmed for April 29, Will Go on Sale via Flipkart https://t.co/IymZU91tpJ"
1853,"Book for your gaming phone at Flipkart ASUS ROG 5, PRO , AND ULTIMATE! HURRY UP! https://t.co/DDWokm801w"
1854,"Dear @flipkartsupport, @Flipkart  wrt #OD121583955449920000
We raised return request on 23rd April and your team no… https://t.co/Cmo4WMnNl1"
1855,"ARMY STRESSES ON INTEGRATED LOGISTICS ON THE LINES OF AMAZON, FLIPKART AMID COVID CRISIS.
Sunday, April 25, 2021 https://t.co/We3Ypn6V34"
1856,"Yo @Flipkart, I had ordered a TP archer C20 AC Wireless Dual Band 750 Mbps Router (ref order no: Order ID - OD12161… https://t.co/kUhIuzWXy4"
1857,"Flipkart Fake Or Not, Flipkart Quiz Answers, Flipkart App Quiz Answers, Flipkart Today 25th April 2021 Quiz Answers… https://t.co/fvm9cqlXAW"
1858,Till date no solution.  Worst of service @flipkartsupport @Flipkart @_Kalyan_K https://t.co/IFCkrsakcf
1859,I have purchased no cost product but EMI amount will charged by bank. bank says flipkart fault and flipkart says ba… https://t.co/AIKurX2ty9
1860,Aakhir kaun hai yeh log... @Flipkart really bad piece of print advertising. Using pestor power as tool to generate… https://t.co/pnR14iiRYD
1861,#MahavirJayanti #MahavirJayanti2021 #truth #nonviolence #peace #harmony #investing #return #gold #silver #goldcoin… https://t.co/htgDcFcxx0
1862,"#SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator at ₹30,740 (effective)

Claim ₹1,500 OFF Coup… https://t.co/Ws3TfTSkjS"
1863,"Now the Play will go on with awesome Infinix Hot 10 Play with massive 6000mAh Battery, 6.82 HD+ Big Display, 64GB B… https://t.co/2SWXgZsx5g"
1864,"Utterly disappointed by the service from @Flipkart @flipkartsupport .
Received a fake product against my order of O… https://t.co/dmM4dSlfxR"
1865,We head over to Flipkart to get our home ready for the ongoing summers https://t.co/H9GC8aNH2h
1866,"With its 3-Card Slot feature, the #realme8 5G supports expandable memory up to 1TB.
Yes, 1TB!

That’s a lot of S-P-… https://t.co/Z104XYgyYX"
1867,"SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator at ₹30,740 (effective)

Claim ₹1,500 OFF Coupo… https://t.co/ATxo0l9OkZ"
1868,"🎁 #SAMSUNG 345 L Frost Free Double Door 3 Star Convertible Refrigerator@30740 ( Effectively )

Claim 1500rs off Cou… https://t.co/0jTkmX0DN5"
1869,"Some time ago I ordered a pack of 2 disinfectant sanitizer 170ML frm Flipkart Rs.252, but now I ordered the same sa… https://t.co/hV0KfiXPsP"
1870,"I want to take flipkart franchise on my area.

Please help me. @Flipkart"
1871,Pull back the ad @Flipkart . Children are precious and not for your wrong portrayal. @timesofindia look at your ads… https://t.co/JtBGA28lyF
1872,"#Free 35 Supercoins by completing simple task

Link 👉 https://t.co/0RLLSen3Mk

👉 Go to above link slide down and cl… https://t.co/Zfmdo5YldP"
1873,It is not promoting child lbr @Flipkart ??? How can you show a child as a delivery boy!!! @timesofindia check your… https://t.co/qdDlBwkPQ3
1874,It is not promoting child lbr @Flipkart ??? How can you show a child as a delivery boy!!! @timesofindia check your… https://t.co/WLKFKl76w2
1875,"Take a break and recharge yourself with some kadak Delhi Adhrak Chai. Tapri Anytime Anywhere!
Buy here:
Amazon -… https://t.co/KACxX8oRiF"
1876,"Upcoming Vivo V21 5G India Launch Confirmed for April 29, Will Go on sale  via Flipkart https://t.co/5RUwktDn1e"
1877,"Upcoming Vivo V21 5G India Launch Confirmed for April 29, Will Go on sale  via Flipkart https://t.co/7YUimvCAtU"
1878,I am totally dissatisfied with the service of @Flipkart. If you can't deliver your product until lockdown ends then… https://t.co/LHiFYF85VA
1879,#marq #Flipkart AC servicing is pending from last 10 days. Technician visited once but now no response from him
1880,See the extreme level of casualty in customer service of flipkart.they committed to deliver the product on 21st Apr… https://t.co/sUXwuM5D0a
1881,"Marble stains Remover on Amazon/Flipkart 

#India #Karnataka #Tamilnadu #Telangana #Maharashtra #Delhi #Gujarat… https://t.co/QxY5KZbkfL"
1882,"This is a gift 4 my baby girl with whom i talked after 5 years.
she demanded frm me a doll house as her birthday gi… https://t.co/qUNxePb2U0"
1883,Is that promoting childlabour.  #childlabour #Flipkart #delhipolice #childrights #SmritiIrani @smritiirani… https://t.co/fxuzDXSkue
1884,"Revolut starts India operations, appoints former Lendingkart, Flipkart executive Paroma Chatterjee as CEO… https://t.co/TxON9dBifY"
1885,"pathetic service from #flipkart &amp; its fraud seller #truecomretail, none of them are taking responsibility for the d… https://t.co/UW59Bjj8sa"
1886,"Dear @flipkartsupport, @Flipkart, wrt #OD121583955449920000
We raised return request on 23rd April and your team no… https://t.co/YQWlRAaaet"
1887,"ordered realme 8 on 17th april from flipkart,today is 25 april and yet my product hasn't came
I seriously don't lik… https://t.co/hs7Cv4H5qC"
1888,"Hi

@Flipkart @flipkartsupport @amazonIN delivery for non-essential is now allowed on 491445 and 491441 pin code wh… https://t.co/0IAGUxP1FD"
1889,"Denizen from Levi's Women's Clothing Min 70% off from Rs.175 @ Flipkart
https://t.co/9IVVrWuVc3"
1890,Waiting since 15 days...But not delivered...Whats going wrong @flipkartsupport totally worst service by @Flipkart.… https://t.co/idxwTOYA3c
1891,What we ordered and what we get online shopping #cheaters#flipkart#duplicate shame on you https://t.co/FPykNO3dyN
1892,"#Flipkart since from six months flipkart replies these types of mails, they supposed transfer refund in my account… https://t.co/Q4ZMloXvdU"
1893,"Don't buy any of the product from #marq #Flipkart their ac are worst, brought two ac, both are not working since fr… https://t.co/q5jybuJVtO"
1894,"Register yourself to open the box on 05.05.2021
Cashback, Offers &amp; Features like flipkart amazon

*For More Details… https://t.co/7wijtrtoGW"
1895,Hey flipkart I ordered the blue blazer but I got something else form it @Flipkart @FlipkartSellers https://t.co/KaWusC9VrY
1896,Hello @Flipkart so you have started selling duplicate N95 masks  too now. Risking lives of people and that too the… https://t.co/TExb6TIF97
1897,"[Buy 4 get 5% off] Granola Dry Fruits upto 45% off starting From Rs.182 @ Flipkart
https://t.co/cIVOq3UBZK"
1898,Such a pathetic service support from fk.Why return n replacement is so hectic with @Flipkart.Due to application fau… https://t.co/oUPsv5R0RC
1899,"24th April #Flipkart Video Quiz All Answers win Assured rewards

Read more at: https://t.co/m75OAlK9wa
#FForFree… https://t.co/G8YCfsxyvi"
1900,"in our anger due to America not supplying  raw material. What all will u boycott  -whatsapp, Twitter, FB, Google, U… https://t.co/SX968yG979"
1901,"Army stresses on integrated logistics on the lines of Amazon, Flipkart amid Covid crisis https://t.co/QZfKDpCZEE via @ThePrintIndia"
1902,"Top Brands Women's Clothing Upto 80% Off starting@ 150

https://t.co/Fn8scWvIZe

."
1903,Worst experience with @Flipkart  @_Kalyan_K @FlipkartStories I have bought a pressure cooker for ₹ 759 with pay lat… https://t.co/YQL3Oq6eNU
1904,@flipkartsupportIt has been more than 15(IN2104200820472813908) days i have raised an complains about the fraud hap… https://t.co/S1gayjCNOK
1905,"Tell me which item shows as not deliverable at my location?? 

Yet your so friendly app is not accepting the order.… https://t.co/OND6SPPQDo"
1906,"Dear @Flipkart @flipkartsupport , 

We would like to purchase Oximeter and price has been raise by 100℅. This shoul… https://t.co/lIY986sLVX"
1907,"🎁 [ Expires Tomorrow ] Flipkart Mystery Box : Click &amp; Get Extra 1000 Off On AC

Click Here :… https://t.co/UIk46UzMIx"
1908,"🎁 [ Expires Tomorrow ] Flipkart Mystery Box : Click &amp; Get Extra 1000 Off On AC

Click Here :… https://t.co/PQwvzodNEw"
1909,Mauka - mauka khelti huyi badi companies #indian_people #middle_class ke sath  @Flipkart @amazonIN @PMOIndia… https://t.co/evSdvZVUD9
1910,I am sharing pictures!! Just need an update from you @Flipkart @flipkartsupport . This has been a first time I am f… https://t.co/aLXRfWw7vk
1911,"#OPPOA53s
OPPOA53s 5G (Dual 5G) Launching on 27th April 
At @Flipkart https://t.co/UY9DaI5wt2"
1912,"Spnding loads of money to book a flight on @Flipkart- 2 mins.

Trying a rescheduling- 50 calls to flipkart, 50 expe… https://t.co/Wx6vr3Iu7K"
1913,. @Flipkart  I’m not using any of your app or site! How come i gt so many OTP’s again &amp; again! It’s a fraud https://t.co/aXT2hah9bR
1914,"Sheer injustice is happening to me, nor was she accepted to put the request so many times and the team did not cont… https://t.co/stfiUQCbs3"
1915,Account Having 3000 gift cards and around 2500 supercoins got blocked by you by giving unknown reason. I want my mo… https://t.co/g9OQZ38cGp
1916,"Could Zoho, Mahindra, Tata, RPG, Google, IT companies please help in beating Coronavirus in India? @svembu… https://t.co/DFh0Wz8mRc"
1917,"1 FYI: https://t.co/xZbLsesZlA

2 Fake or Not fake: https://t.co/h6jyTcHN8S

3 Power play: https://t.co/pKWwyJZMXa… https://t.co/J94TLoNAxa"
1918,Classic Steels Tea &amp; sugar container set of 2 - 550 ml Steel Tea Coffee &amp; Sugar Container - 550 ml Steel Tea Coffee… https://t.co/8cujRutPWY
1919,"Please let people 'clearly' know that they have to pay processing fee and GST on EMI interest even if they choose ""… https://t.co/8ZaR8IDDRz"
1920,"Match 19, Question 19!!!

Cmnt ur ans using #MGUIPLContest2021 &amp; #HarGharKiRasoiKiShaan

Follow 
@mguindore

Don't… https://t.co/Eu3ueLxfWQ"
1921,"Sounds like our users are loving the #NoiseOffrealmeOn experience, what are you waiting for?

Get the… https://t.co/InDdGpzZmJ"
1922,"Does Flipkart, by using a child as a delivery person in this all-edition front-page Times of India ad, expect all t… https://t.co/2LgfyekYQw"
